storm_id,storm_name,Date,Time_UTC,status,Latitude,Longitude,wind_kt,pressure_mb,lat,lon,date_str,time_str,timestamp,year,month,day,hour,noaa_damage_B,noaa_deaths,noaa_injuries,noaa_n_episodes,intensity_class,intensity_label,lat_prev,lon_prev,delta_lat,delta_lon,dist_km,speed_kmh,bearing,bearing_sin,bearing_cos,wind_trend_12h,wind_trend_24h,pres_trend_12h,pres_trend_24h,delta_lat_12h,delta_lon_12h,speed_mean_24h,delta_wind_kt,delta_pres_mb,wind_change_24h,is_RI,month_sin,month_cos,hour_sin,hour_cos,storm_age_step,storm_age_h,is_peak_season
AL011996,ARTHUR,19960618,0,TD,27.7N,78.3W,25.0,1010.0,27.7,-78.3,19960618,0000,1996-06-18 00:00:00+00:00,1996,6,18,0,0.002,0.0,0.0,22.0,0,TD,26.8,-77.8,0.8999999999999986,-0.5,111.61557703063981,18.602596171773303,333.8294013704878,-0.4410453659044097,0.8974848105757809,,,,,0.8999999999999986,-0.5,18.602596171773303,,,,0,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0
AL011996,ARTHUR,19960618,600,TD,28.6N,78.8W,25.0,1009.0,28.6,-78.8,19960618,0600,1996-06-18 06:00:00+00:00,1996,6,18,6,0.002,0.0,0.0,22.0,0,TD,27.7,-78.3,0.9000000000000021,-0.5,111.4363938995878,18.572732316597968,334.020022393719,-0.438057030432052,0.8989471831476264,,,,,0.9000000000000004,-0.5,18.587664244185635,0.0,-1.0,,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,1,6,0
AL011996,ARTHUR,19960618,1200,TD,29.7N,78.8W,25.0,1008.0,29.7,-78.8,19960618,1200,1996-06-18 12:00:00+00:00,1996,6,18,12,0.002,0.0,0.0,22.0,0,TD,28.6,-78.8,1.0999999999999979,0.0,122.31441930901407,20.385736551502344,0.0,0.0,1.0,0.0,,-2.0,,1.0,-0.25,19.18702167995787,0.0,-1.0,,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,2,12,0
AL011996,ARTHUR,19960618,1800,TD,30.6N,78.7W,30.0,1008.0,30.6,-78.7,19960618,1800,1996-06-18 18:00:00+00:00,1996,6,18,18,0.002,0.0,0.0,22.0,0,TD,29.7,-78.8,0.9000000000000021,0.09999999999999432,100.53626331313882,16.756043885523138,5.463034244738367,0.09520352873085244,0.995457828397162,5.0,,-1.0,,1.0,0.04999999999999716,18.579277231349188,5.0,0.0,,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,3,18,0
AL011996,ARTHUR,19960619,0,TS,31.5N,78.7W,35.0,1004.0,31.5,-78.7,19960619,0000,1996-06-19 00:00:00+00:00,1996,6,19,0,0.002,0.0,0.0,22.0,1,TS,30.6,-78.7,0.8999999999999986,0.0,100.07543398010229,16.679238996683715,0.0,0.0,1.0,10.0,10.0,-4.0,-6.0,0.9000000000000004,0.04999999999999716,18.09843793757679,5.0,-4.0,10.0,0,1.2246467991473532e-16,-1.0,0.0,1.0,4,24,0
AL011996,ARTHUR,19960619,600,TS,32.3N,78.6W,35.0,1006.0,32.3,-78.6,19960619,0600,1996-06-19 06:00:00+00:00,1996,6,19,6,0.002,0.0,0.0,22.0,1,TS,31.5,-78.7,0.7999999999999972,0.10000000000000853,89.4554218417502,14.909236973625033,6.031267617471144,0.10507118102284474,0.994464703706705,5.0,10.0,-2.0,-3.0,0.8499999999999979,0.05000000000000426,17.182564101833556,0.0,2.0,10.0,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,5,30,0
AL011996,ARTHUR,19960619,1200,TS,33.2N,78.1W,40.0,1005.0,33.2,-78.1,19960619,1200,1996-06-19 12:00:00+00:00,1996,6,19,12,0.002,0.0,0.0,22.0,1,TS,32.3,-78.6,0.9000000000000057,0.5,110.46017922354142,18.410029870590236,24.90916276575399,0.42118086285267115,0.9069766704643948,5.0,15.0,1.0,-3.0,0.8500000000000014,0.30000000000000426,16.688637431605528,5.0,-1.0,15.0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,6,36,0
AL011996,ARTHUR,19960619,1800,TS,33.9N,77.3W,40.0,1005.0,33.9,-77.3,19960619,1800,1996-06-19 18:00:00+00:00,1996,6,19,18,0.002,0.0,0.0,22.0,1,TS,33.2,-78.1,0.6999999999999957,0.7999999999999972,107.49189083775858,17.91531513962643,43.38481055651869,0.6868948675024299,0.7267567963210384,5.0,10.0,-1.0,-3.0,0.8000000000000007,0.6499999999999986,16.978455245131354,0.0,0.0,10.0,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,7,42,0
AL011996,ARTHUR,19960620,0,TS,34.7N,76.4W,35.0,1005.0,34.7,-76.4,19960620,0000,1996-06-20 00:00:00+00:00,1996,6,20,0,0.002,0.0,0.0,22.0,1,TS,33.9,-77.3,0.8000000000000043,0.8999999999999915,121.43941876421015,20.239903127368358,42.65039706069524,0.6775231748083691,0.7355014259657068,-5.0,0.0,0.0,1.0,0.75,0.8499999999999943,17.868621277802514,-5.0,0.0,0.0,0,1.2246467991473532e-16,-1.0,0.0,1.0,8,48,0
AL011996,ARTHUR,19960620,600,TS,35.5N,75.4W,35.0,1005.0,35.5,-75.4,19960620,0600,1996-06-20 06:00:00+00:00,1996,6,20,6,0.002,0.0,0.0,22.0,1,TS,34.7,-76.4,0.7999999999999972,1.0,127.23616936797981,21.206028227996637,45.35606718152712,0.7114874451956459,0.7026988084015603,-5.0,0.0,0.0,-1.0,0.8000000000000007,0.9499999999999957,19.442819091395414,0.0,0.0,0.0,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,9,54,0
